Brewing Grain,Maltster,Region,Flavor Descriptors ,Grain Type,Lovibond Rating,Diastatic Power
Bairds English Carastan Malt,Bairds,United Kingdom,"caramel, toffee flavors, slight character of toasted bread",Caramel & Crystal Malted Grains,35, 
Bairds English Light Carastan Malt,Bairds,United Kingdom,"pleasant toffee flavor, subtle bread and caramel notes",Caramel & Crystal Malted Grains,15, 
Best Malz German Munich Malt,Best Malz,Germany,"smooth, deep maltiness","Base Malts, Lightly Kilned and Toasted",6.3,70
Best Malz German Pilsen Malt,Best Malz,Germany,"bright, clean, full-bodied",Base Malts,1.9,76
Best Malz German Red X® Malt,Best Malz,Germany,"fruits, passionfruit specifically",Base Malts,12,62
Briess 2-Row Brewers Malt,Briess,United States,"clean, sweet, mild malty",Base Malts,1.8,140
Briess Aromatic Malt,Briess,United States,"smooth, clean, rich intense malty",Lightly Kilned and Toasted,20,20
Briess Ashburne Mild Malt,Briess,United States,"slighty sweet, subtle toasty",Base Malts,5.3,65
Briess Black Malt,Briess,United States,"dry roasted, sharp to neutral",Roasted Malts,500, 
Briess Bonlander Munich Malt,Briess,United States,"slightly sweet, rich malty","Base Malts, Lightly Kilned and Toasted",10,40
Briess Caramel 10L Malt,Briess,United States,"Sweet, almost honey like",Caramel & Crystal Malted Grains,10, 
Briess Caramel 120L Malt,Briess,United States,"Caramel, slight roasty/toastiness",Caramel & Crystal Malted Grains,120, 
Briess Caramel 20L Malt,Briess,United States,"sweet, caramel",Caramel & Crystal Malted Grains,20, 
Briess Caramel 40L Malt,Briess,United States,"caramel, sweet",Caramel & Crystal Malted Grains,40, 
Briess Caramel 60L Malt,Briess,United States,"caramel, sweet",Caramel & Crystal Malted Grains,60, 
Briess Caramel 80L Malt,Briess,United States,"caramel, burnt sugar, raisin",Caramel & Crystal Malted Grains,80, 
Briess Caramel 90L Malt,Briess,United States,"caramel, burnt sugar, raisin",Caramel & Crystal Malted Grains,90, 
Briess Caramel Vienne 20L Malt ,Briess,United States,"Soft toffee, caramel, malty",Caramel & Crystal Malted Grains,20, 
Briess Carapils Malt,Briess,United States,gives impression of fullness,Caramel & Crystal Malted Grains,1.5, 
Briess Cherrywood Smoked Malt,Briess,United States,"Rich, sweet smokiness","Base Malts, Lightly Kilned and Toasted",5,140
Briess Chocolate Malt,Briess,United States,"Rich roasted, coffee, cocoa",Roasted Malts,350, 
Briess Goldpils® Vienna Malt,Briess,United States,"Rich malty flavor, hint of biscuit",Base Malts,3.5,80
Briess Light Roasted Barley,Briess,United States,"Coffee, intense bitter, dry",Roasted Malts,300, 
Briess Midnight Wheat Malt,Briess,United States,"starts slightly sweet, hints of roasted flavor, finishes exceptionally clean",Roasted Malts,550, 
Briess Organic 2-Row Malt,Briess,United States,mild maltiness,Base Malts,1.8,140
Briess Organic C-120L Malt,Briess,United States,"caramel, burnt sugar, raisin",Caramel & Crystal Malted Grains,120, 
Briess Organic C-20L Malt,Briess,United States,"sweet, caramel",Caramel & Crystal Malted Grains,20, 
Briess Organic C-60L Malt,Briess,United States,"caramel, sweet",Caramel & Crystal Malted Grains,60, 
Briess Organic Carapils Malt,Briess,United States,gives impression of fullness,Caramel & Crystal Malted Grains,1.5, 
Briess Organic Chocolate Malt,Briess,United States,"roasted coffee, cocoa",Roasted Malts,350, 
Briess Organic Munich Malt,Briess,United States,rich maltiness,"Base Malts, Lightly Kilned and Toasted",10,30
Briess Organic Roast Barley Malt,Briess,United States,"Coffee, intense bitter, dry",Roasted Malts,300, 
Briess Pale Ale Malt,Briess,United States,hints of biscuit and nutlike flavors,Base Malts,3.5,85
Briess Pilsen Malt,Briess,United States,"clean, sweet, delicatly malty",Base Malts,2.7,140
Briess Rye Malt,Briess,United States,spicy rye,Base Malts,3.7,105
Briess Special Roast Malt,Briess,United States,"toasty, biscuity, sour, tangy",Lightly Kilned and Toasted,40, 
Briess Victory Malt,Briess,United States,"bread-like, nutty, toasty",Lightly Kilned and Toasted,28, 
Canada Malting Pale Ale Malt,Canada Malting,Canada,"toasty, biscuity",Base Malts,2.7, 
Canada Malting Wheat Malt,Canada Malting,Canada,soft wheat flavor,Base Malts,2.2, 
